SCHOOL_DISTRICT_NUMBER,SCHOOL_DISTRICT_NAME,PROGRAM_NUMBER,PROGRAM_TYPE,FACILITY_NAME,FACILITY_ADDRESS,FACILITY_CITY,FACILITY_POSTAL_CODE,PROGRAM_PHONE_NUMBER,PROGRAM_FAX_NUMBER,LATITUDE,LONGITUDE
83,North Okanagan-Shuswap,8325185,Early Learning Program,South Broadview StrongStart Centre,4750 10 Ave SW,Salmon Arm,,250 832-2167,250 832-7003,50.69227818,-119.3400111
74,Gold Trail,7425071,Early Learning Program,Cayoosh StrongStart Centre,351 6th Ave West,Lillooet,,250 256-4212,250 256-7953,50.69237399,-121.939703
73,Kamloops-Thompson,7325015,Early Learning Program,Arthur Hatton StrongStart Centre,315 Chestnut Ave,Kamloops,,250 376-7231,,50.69516024,-120.3516108
83,North Okanagan-Shuswap,8325206,Early Learning Program,District Education Support Centre (DESC) StrongStart Centre,341 Shuswap St S,Salmon Arm,,250 832-2157,250 832-9428,50.697855,-119.286048
73,Kamloops-Thompson,7325427,Early Learning Program,A E Perry StrongStart Centre,1380 Sherbrooke Ave,Kamloops,,250 376-6224,,50.70491522,-120.3769395
73,Kamloops-Thompson,7325301,Early Learning Program,Haldane StrongStart Centre,530 Cottonwood St,Chase,,250 679-3269,,50.81518848,-119.6885156
83,North Okanagan-Shuswap,8325077,Early Learning Program,Parkview StrongStart Centre,605 Parksville St,Sicamous,,250 836-2781,250 804-7792,50.8348,-118.976
74,Gold Trail,7425178,Early Learning Program,Clinton StrongStart Centre,1203 Cariboo Ave,Clinton,,250 459-2219,250 459-7949,51.08566491,-121.5900778
73,Kamloops-Thompson,7325176,Early Learning Program,Barriere StrongStart Centre,4475 Airfield Rd,Barriere,,250 672-9916,,51.1786,-120.129
6,Rocky Mountain,625029,Early Learning Program,Alexander Park StrongStart Centre,1000  14th St. South,Golden,,250 344-5513,250 342-6966,51.29548491,-116.9535451
27,Cariboo-Chilcotin,2725035,Early Learning Program,100 Mile StrongStart Centre,97 Birch Ave,100 Mile House,,250 395-2258,,51.64717374,-121.2933565
73,Kamloops-Thompson,7325175,Early Learning Program,Raft River StrongStart Centre,801 Clearwater Village Rd,Clearwater,,250 674-2218,,51.64755485,-120.0095722
27,Cariboo-Chilcotin,2725217,Early Learning Program,Mountview StrongStart Centre,1222 Dog Creek Rd,Williams Lake,,250 392-7344,,52.0998637,-122.1234469
27,Cariboo-Chilcotin,2725034,Early Learning Program,Cataline Strong Start Centre,1175 Blair St,Williams Lake,,250 392-7154,250 392-2989,52.13365166,-122.1448055
27,Cariboo-Chilcotin,2725095,Early Learning Program,Marie Sharpe StrongStart Centre,260 Cameron St,Williams Lake,,250 392-4104,,52.13365166,-122.1448055
49,Central Coast,4925052,Early Learning Program,Nusatsum StrongStart Centre,1963 Hwy 20,Hagensborg,,250 982-2355,,52.388737,-126.538529
28,Quesnel,2825219,Early Learning Program,Ecole Baker StrongStart Centre,610 Wade Ave,Quesnel,,250 992-8383,,52.9697,-122.516
28,Quesnel,2825002,Early Learning Program,Dragon Lake StrongStart Centre,2671 Hydraulic Rd,Quesnel,,250 747-2142,250 747-2498,52.97265543,-122.4325424
28,Quesnel,2825344,Early Learning Program,Bouchie Lake StrongStart Centre,2074 Blackwater Rd,Quesnel,,250 249-5913,,53.02678406,-122.5954817
50,Queen Charlotte,5025149,Early Learning Program,Agnes L Mathers StrongStart Centre,403 School Rd,Sandspit,,250 637-5454,,53.24398081,-131.8256697
