,Report Snapshot Date,Licensee Name,Program Type Desc,Region Display Name,CMSM DSSAB Name,Child Care Center Name,Licence Number,Program Option,Original Issue Date,Licence Status,Closure or Termination Date,Language of Service Desc,Street Number,Street Name,Street Type,City,Province,Postal Code,
75,2020-02-29,1493078 Ontario Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,Royal Montessori School,1532,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2001-12-01,Active,,English,2500,Mimosa,Row,Mississauga,ON,L5B 1P7,
76,2020-02-29,1502503 Ontario Inc. - A Child's Paradise Too,Child Care Centre,Southwest Region,City of Brantford,A Child's Paradise Too,1626,Full Day(6 hours or more in a day),2002-05-13,Active,,English,16,Morrell,Street,Brantford,ON,N3T 4J2,
77,2020-02-29,1505408 Ontario Inc. (Yorktown Montessori School),Child Care Centre,Central East Region,City of Toronto,Yorktown Montessori School (1505408 Ontario Inc.),1720,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2002-09-01,Active,,English,349,Kenneth,Avenue,Toronto,ON,M2N 4V9,
78,2020-02-29,1512463 Ontario Ltd. (Teddy Bear Educare Advance),Child Care Centre,Central West Region,City of Toronto,Teddy Bear Educare Advance,5611,Full Day(6 hours or more in a day),2011-02-28,Active,,English,86,Advance,Road,Toronto,ON,M8Z 2T7,
79,2020-02-29,152244 Association Canada Inc. - Gulfstream Day Care Centre,Child Care Centre,Central North Region,City of Toronto,Gulfstream Day Care Centre - 152244 Association Canada Inc.,6970,"Full Day(6 hours or more in a day), Before school, After school",1987-07-14,Active,,English,20,Gulfstream,Road,Toronto,ON,M9M 1S3,
80,2020-02-29,1523743 Ontario Inc.,Child Care Centre,West Region,Regional Municipality of Halton,TRAFALGAR RIDGE MONTESSORI SCHOOL,1656,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day)",2002-06-20,Active,,English,2379,Trafalgar,Road,Oakville,ON,L6H 6K7,
81,2020-02-29,1533282 Ontario Ltd.,Child Care Centre,West Region,Regional Municipality of Halton,Oxford Learning Centre - N/E,2056,Half day(Less than 6 hours in a day),2003-06-16,Inactive,2014-08-04,English,380,Dundas,Street,Oakville,ON,L6H 6Z9,
82,2020-02-29,1560027 Ontario Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,Springdale Learning Centre,2077,"Full Day(6 hours or more in a day), Half day(Less than 6 hours in a day), Before school, After school",2003-07-09,Active,,English,160,Mountainash,Road,Brampton,ON,L6R 1J1,
83,2020-02-29,1560027 Ontario Inc.,Child Care Centre,Central West Region,Regional Municipality of Peel,Springdale Learning Centre-Shaw Public School,4417,"Before school, After school",2007-10-15,Active,,English,10,Father Tobin,Road,Brampton,ON,L6R 3K2,
84,2020-02-29,1580829 Ontario Ltd.,Child Care Centre,Central North Region,Regional Municipality of York,Oxford Learning Centre - Maple,4038,Half day(Less than 6 hours in a day),2006-11-24,Inactive,2014-04-10,English,2937,Major Mackenzie,Drive,Maple,ON,L6A 3N9,
