CGNDB ID,Geographical Name,Language,Syllabic Form,Generic Term,Generic Category,Concise Code,Toponymic Feature ID,Latitude,Longitude,Location,Province - Territory,Relevance at Scale,Decision Date,Source
GBTRH,Norway House Cree Nation Moosa Otinihk,Undetermined,,Indian Reserve,Administrative Area,IR,a615e28203cb4586b2f98dafb223f571,54.284493,-95.79342,,Manitoba,50000,2019-01-25,Indigenous and Northern Affairs Canada
GBTQN,Norway House Cree Nation Okowi Sikuhigan,Undetermined,,Indian Reserve,Administrative Area,IR,891fcfcb264841169786170f53cdb68a,54.183788,-96.208434,,Manitoba,50000,2019-01-25,Indigenous and Northern Affairs Canada
GDAGG,Norway House Cree Nation Opiminegoka Lake,Undetermined,,Indian Reserve,Administrative Area,IR,426fac8782004dd1a65b906b57a5f18b,54.594454,-96.038665,,Manitoba,50000,2019-06-10,Indigenous and Northern Affairs Canada
GBTOZ,Norway House Cree Nation Otahawkanihk Landing,Undetermined,,Indian Reserve,Administrative Area,IR,fc3bb4fab19847c2a13b9b6498464bfc,54.3887056,-97.8627276,,Manitoba,50000,2019-01-25,Indigenous and Northern Affairs Canada
GDAFP,Norway House Cree Nation Paskitanigowih,Undetermined,,Indian Reserve,Administrative Area,IR,ff5f5c7e5c0a4328a7856d8acb4364b9,54.518449,-96.009745,,Manitoba,50000,2019-05-14,Indigenous and Northern Affairs Canada
GDAFL,Norway House Cree Nation Provincial Road 373B,Undetermined,,Indian Reserve,Administrative Area,IR,ec7e338eda3947cfb658377ea434c18a,54.335939,-97.762251,,Manitoba,50000,2019-06-07,Indigenous and Northern Affairs Canada
GDAFO,Norway House Cree Nation Wawahtew Sakahigan Sawanohk ,Undetermined,,Indian Reserve,Administrative Area,IR,894e113f41e44c219bcb156f5c218e85,54.446791,-96.191459,,Manitoba,50000,2019-06-07,Indigenous and Northern Affairs Canada
GBITS,Norway House Settlement,Undetermined,,Settlement,Administrative Area,GEOG,812fc2d9bef711d892e2080020a0f4c9,53.95,-97.879722,,Manitoba,50000,1994-01-19,Manitoba-Sustainable Development
GATRV,Norwood,Undetermined,,Neighbourhood,Populated Place,UNP,f280bf0cbeed11d892e2080020a0f4c9,49.876667,-97.119722,,Manitoba,50000,1989-11-20,Manitoba-Sustainable Development
GBGKO,Norwood East,Undetermined,,Neighbourhood,Populated Place,UNP,6f606455bef611d892e2080020a0f4c9,49.877778,-97.112222,,Manitoba,50000,1989-11-20,Manitoba-Sustainable Development
GBGKN,Norwood West,Undetermined,,Neighbourhood,Populated Place,UNP,6f5a49d4bef611d892e2080020a0f4c9,49.875,-97.126667,,Manitoba,50000,1989-11-20,Manitoba-Sustainable Development
GATSD,Notigi,Undetermined,,Locality,Populated Place,UNP,f2ae85d2beed11d892e2080020a0f4c9,55.868611,-99.323056,30-79-12-W,Manitoba,250000,1983-06-03,Manitoba-Sustainable Development
GBSNJ,Notin Sakahekun,Undetermined,,Indian Reserve,Administrative Area,IR,25045576ae8b40e195834979a68efef3,54.627903,-95.83976,,Manitoba,50000,2010-03-03,Indigenous and Northern Affairs Canada
GBSKM,Notre-Dame-de-Lourdes,Undetermined,,Village,Populated Place,VILG,f3b14fd8beed11d892e2080020a0f4c9,49.533056,-98.557778,,Manitoba,1000000,2009-11-03,Manitoba-Sustainable Development
GATSM,Nourse,Undetermined,,Locality,Populated Place,UNP,f3bfcecabeed11d892e2080020a0f4c9,49.885278,-96.383889,1-11-8-E,Manitoba,250000,1949-12-01,Manitoba-Sustainable Development
GATSQ,Novra,Undetermined,,Locality,Populated Place,UNP,f3ce9bdcbeed11d892e2080020a0f4c9,52.528889,-101.07222,13-41-26-W,Manitoba,250000,1999-02-19,Manitoba-Sustainable Development
GBSMA,Nueltin Lake Provincial Park,Undetermined,,Provincial Park,Administrative Area,PARK,0753f30b0a001204133a90f45af2f97d,59.6325,-99.57833,,Manitoba,50000,2012-07-27,Manitoba-Sustainable Development
GBLBU,Numaykoos Lake Provincial Park,Undetermined,,Provincial Park,Administrative Area,PARK,396cb8acbef911d892e2080020a0f4c9,57.865278,-95.963333,102-10E,Manitoba,1000000,1997-06-11,Manitoba-Sustainable Development
