,name,source_facility_type,source_id,capacity,facility_type,city,full_address,postal_code,provider
808,UNIVERSITY TENDER LOVING OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,45EFA2AE9C9F7D4BF8238E9952D9E2EF,56,Day Care,EDMONTON,11224 76 AVENUE,T6G0K1,Province of Alberta
809,STRATHCONA COUNTY FAMILY DAY CARE,FAMILY DAY HOME,4E1DB82B7BED63202BC8C50C0634F35B,210,Home,SHERWOOD PARK,200 - 501 FESTIVAL AVENUE,T8A4X3,Province of Alberta
810,CARSTAIRS PLAYSCHOOL PROGRAM,PRE-SCHOOL PROGRAM,4EC8890F687EF995BFB7094568C72626,30,Day Care,CARSTAIRS,213 - 10 AVENUE N.,T0M0N0,Province of Alberta
811,UNIVERSITY TENDER LOVING DAYCARE,DAY CARE PROGRAM,51E4F0BA3C9D4FEEE41FE9A24AC7B489,72,Day Care,EDMONTON,11224 76 AVENUE,T6G0K1,Province of Alberta
813,MILLWOODS CHRISTIAN SCHOOL,PRE-SCHOOL PROGRAM,61C646C2F954E4A4CA13AEC0D5FBB2A5,16,Day Care,EDMONTON,8704 MILLWOODS ROAD,T6K3J3,Province of Alberta
814,YMCA FOREST HEIGHTS OUT OF SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,63BC04F80C6C90898D74EBAC48D1C663,52,Day Care,EDMONTON,10304 81 STREET,T6A3X4,Province of Alberta
817,LEARN-N-SHARE DAY CARE,DAY CARE PROGRAM,70FD91CC3F83A6A98A6B212E73DF1415,23,Day Care,EDMONTON,1498 KNOTTWOOD ROAD NORTH,T6K2K1,Province of Alberta
818,FUNSHINE CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,73E4CDA50B57C1A6CBFB55B3B300AA21,28,Day Care,MUNDARE,5219-50 STREET,T0B3H0,Province of Alberta
819,THREE HILLS PLAYSCHOOL ASSOCIATION,PRE-SCHOOL PROGRAM,791E16DBE25D3F7E0A2AFB06F298A995,24,Day Care,THREE HILLS,400-6TH AVE SOUTH,T0M2A0,Province of Alberta
820,KIDS & COMPANY - BLACKMUD CREEK DAY CARE,DAY CARE PROGRAM,7952F1D20801AF7432B1E277D4D514EE,108,Day Care,EDMONTON,103 1006 103A STREET,T6W2P6,Province of Alberta
822,SILVER SPRINGS DAY CARE CENTRE,OUT OF SCHOOL CARE PROGRAM,7C3B4369822BD57F0070AE3C0AE26509,17,Day Care,CALGARY,7204 SILVERMEAD ROAD NW,T3B3V2,Province of Alberta
