,name,source_facility_type,licence_status,street_number,street_name,city,province,postal_code,provider
4257,PLASP- Sheridan Park Public School,Child Care Centre,Active,2280,Perran Drive,Mississauga,ON,L5K 1M1,Province of Ontario
4258,PLASP- Somerset Drive Public School,Child Care Centre,Active,50,Somerset Drive,Brampton,ON,L6Z 1C7,Province of Ontario
4259,PLASP- Springbrook P.S (Temporary),Child Care Centre,Inactive,1248,Mayfield Drive,Caledon,ON,L7C 0Y7,Province of Ontario
4260,PLASP- Springfield Public School,Child Care Centre,Active,3251,The Credit Woodlands,Mississauga,ON,L5C 2J7,Province of Ontario
4261,PLASP- St. Agnes Catholic School,Child Care Centre,Active,103,Richvale Drive,Brampton,ON,L6Z 4G6,Province of Ontario
4262,PLASP- St. Brigid Catholic School,Child Care Centre,Active,81,Torrance Wood,Brampton,ON,L6Y 2X4,Province of Ontario
4263,PLASP- St. David of Wales Catholic School,Child Care Centre,Active,4200,Beacon Lane,Mississauga,ON,L5C 3V8,Province of Ontario
4264,PLASP- St. Francis of Assisi Catholic School,Child Care Centre,Active,2480,Thornlodge Drive,Mississauga,ON,L5K 1K5,Province of Ontario
4265,PLASP- St. Joachim Catholic School,Child Care Centre,Active,435,Rutherford Road,Brampton,ON,L6V 3V9,Province of Ontario
4266,PLASP- St. John Bosco Catholic School,Child Care Centre,Active,1025,North Park Drive,Brampton,ON,L6S 4E1,Province of Ontario
4267,PLASP- St. John Fisher Catholic School,Child Care Centre,Active,330,Balmoral Drive,Brampton,ON,L5T 1V6,Province of Ontario
4268,PLASP- St. John of The Cross Catholic School,Child Care Centre,Active,3180,Aquitaine Avenue,Mississauga,ON,L5N 3S5,Province of Ontario
4269,PLASP- St. Jude Catholic School,Child Care Centre,Active,175,Nahani Way,Mississauga,ON,L4Z 3J6,Province of Ontario
4270,PLASP- St. Kevin Catholic School,Child Care Centre,Active,103,Malta Avenue,Brampton,ON,L6Y 4C8,Province of Ontario
4271,PLASP- St. Matthew Catholic School,Child Care Centre,Active,280,Kingsbridge Garden Circle,Mississauga,ON,L5R 1L3,Province of Ontario
4272,PLASP- St. Richard Catholic School,Child Care Centre,Active,7270,Copenhagen Road,Mississauga,ON,L5N 2C3,Province of Ontario
4273,PLASP- Terry Fox Public School,Child Care Centre,Active,95,Richvale Drive,Brampton,ON,L6Z 1Y6,Province of Ontario
4274,PLASP-ALOMA CRESCENT PUBLIC SCHOOL,Child Care Centre,Active,57,Aloma Crescent,Brampton,ON,L6T 2N8,Province of Ontario
4275,PLASP-BIRCHBANK PUBLIC SCHOOL,Child Care Centre,Active,52,Birchbank Road,Brampton,ON,L6T 1L7,Province of Ontario
4276,PLASP-BRANDON GATE PUBLIC SCHOOL,Child Care Centre,Active,3800,Brandon Gate,Mississauga,ON,L4T 3V9,Province of Ontario
4277,PLASP-DUNRANKIN DRIVE PUBLIC SCHOOL,Child Care Centre,Active,3700,Dunrankin Drive,Mississauga,ON,L4T 1V9,Province of Ontario
4278,PLASP-FALLINGDALE PUBLIC SCHOOL,Child Care Centre,Active,510,Clark Boulevard,Brampton,ON,L6T 2E4,Province of Ontario
4279,PLASP-JANET MCDOUGALD PUBLIC SCHOOL,Child Care Centre,Active,498,Hartsdale Avenue,Mississauga,ON,L5G 2G6,Province of Ontario
4280,PLASP-MARVIN HEIGHTS PUBLIC SCHOOL,Child Care Centre,Active,7455,Redstone Road,Mississauga,ON,L4T 2B3,Province of Ontario
4281,PLASP-RIDGEWOOD PUBLIC SCHOOL,Child Care Centre,Active,7207,Cambrett Drive,Mississauga,ON,L6Z 4N4,Province of Ontario
4282,PLASP-ST. GERARD CATHOLIC SCHOOL,Child Care Centre,Active,1300,McBride Avenue,Mississauga,ON,L5C 1M8,Province of Ontario
4283,PLASP-ST.JOHN XX111 CATHOLIC SCHOOL,Child Care Centre,Active,915,McBride Avenue,Mississauga,ON,L5C 1M1,Province of Ontario
4284,PLASP-ST.JOSEPH CATHOLIC SCHOOL,Child Care Centre,Active,249,Church Street,Mississauga,ON,L5M 1N1,Province of Ontario
4285,Pauline Vanier Child Care Centre,Child Care Centre,Active,56,Oaklea Boulevard,Brampton,ON,L6Y 4G5,Province of Ontario
4286,Plasp - Artesian Drive P.S.,Child Care Centre,Active,3325,Artesian Drive,Mississauga,ON,L5M 7J8,Province of Ontario
4287,Plasp - Brisdale P.S.,Child Care Centre,Active,370,Brisdale Drive,Brampton,ON,L6Y 5B6,Province of Ontario
4288,Plasp - Clairville P.S.,Child Care Centre,Active,97,Gallucci Crescent,Brampton,ON,L6Y 5B6,Province of Ontario
4289,Plasp - Mount Royal P.S.,Child Care Centre,Active,65,Mount Royal Circle,Brampton,ON,L7A 3L6,Province of Ontario
4290,Plasp - Springdale Public School,Child Care Centre,Active,100,Dewside Drive,Brampton,ON,L6R 3B6,Province of Ontario
4291,Plasp - St. Bonaventure Catholic School,Child Care Centre,Active,35,McCrimmon Drive,Brampton,ON,L4Z 3E9,Province of Ontario
4292,Plasp - St. Julia Catholic School,Child Care Centre,Active,6770,Historic Trail,Mississauga,ON,L5W 1J3,Province of Ontario
4293,Plasp - St. Lucy Catholic School,Child Care Centre,Active,25,Kanata Road,Brampton,ON,L7A 3E9,Province of Ontario
4294,Plasp - St. Sebastian C.S.,Child Care Centre,Active,3460,Aquinas Avenue,Mississauga,ON,L5M 2L2,Province of Ontario
4295,Plasp - Stanley Mills P.S.,Child Care Centre,Active,286,Sunny Meadow Boulevard,Brampton,ON,L6R 3C3,Province of Ontario
4296,Plasp - Thorndale P.S.,Child Care Centre,Active,133,Thorndale Road,Brampton,ON,L6P 1K5,Province of Ontario
4297,Plasp - Venerable Michael McGivney Catholic School,Child Care Centre,Active,450,Fern Forest Drive,Brampton,ON,L6R 2P7,Province of Ontario
4298,Plasp Cashmere Public School,Child Care Centre,Active,2455,Cashmere Avenue,Mississauga,ON,L5B 2M7,Province of Ontario
4299,Plum Tree Park Child Care Center,Child Care Centre,Active,6855,Tenth Line,Mississauga,ON,L5N 5R2,Province of Ontario
4300,St. Agnes Child Care Centre,Child Care Centre,Active,103,Richvale Drive,Brampton,ON,L6Z 4G6,Province of Ontario
4301,St. Alphonsa C.S - PLASP,Child Care Centre,Active,60,Olivia Marie Road,Brampton,ON,L6Y 0M4,Province of Ontario
4302,St. Barbara Early Learning Centre,Child Care Centre,Active,1455,Samuelson Circle,Mississauga,ON,L5N 7Z2,Province of Ontario
4303,St. Edith Stein Child Care Centre,Child Care Centre,Active,6234,Osprey Boulevard,Mississauga,ON,L5N 5V5,Province of Ontario
4304,St. Gregory Early Learning Centre,Child Care Centre,Active,1075,Swinbourne Drive,Mississauga,ON,L5V 1B9,Province of Ontario
4305,St. Jude Child Care Centre,Child Care Centre,Active,175,Nahani Way,Mississauga,ON,L4Z 3J6,Province of Ontario
4306,St. Kevin Child Care Centre,Child Care Centre,Active,103,Malta Avenue,Brampton,ON,L6Y 4C8,Province of Ontario
4307,St. Matthew Child Care Centre,Child Care Centre,Active,280,Kingsbridge Garden Circle,Mississauga,ON,L5R 1L3,Province of Ontario
4308,St. Stephen Child Care Centre,Child Care Centre,Active,17,Colonel Bertram Road,Brampton,ON,L6Z 4N8,Province of Ontario
4309,Sts. Peter and Paul Catholic School,Child Care Centre,Active,4205,Woodlington Drive,Mississauga,ON,L4Z 1K2,Province of Ontario
4310,Trelawny Child Care Centre,Child Care Centre,Active,3420,Trelawny Circle,Mississauga,ON,L5N 6N6,Province of Ontario
4311,Play Laugh Learn Child Care Centre,Child Care Centre,Active,9,Borealis Avenue,Aurora,ON,L4G 0R5,Province of Ontario
4312,Polka Dot Academy Montessori daycare,Child Care Centre,Active,66,Copper Drive,Markham,ON,L6B 0P2,Province of Ontario
4313,PEL Petit Bateau - St. Jean,Child Care Centre,Active,90,Walton Promenade,Aurora,ON,L4G 3K4,Province of Ontario
4314,Preschool Le Petit Bateau - Maple,Child Care Centre,Active,79,Avro Road,Maple,ON,L6A 1Y3,Province of Ontario
4315,PROCARE Family Centre Inc.,Child Care Centre,Active,78,Holland Avenue,Ottawa,ON,K1Y 0X6,Province of Ontario
4316,Paintin' Place Cooperative Day Care Centre,Child Care Centre,Inactive,159,University Avenue,Waterloo,ON,N2L 3B8,Province of Ontario
4317,PALMERSTON CO-OPERATIVE NURSERY SCHOOL INC.,Child Care Centre,Inactive,315,Main Street,Palmerston,ON,N0G 2P0,Province of Ontario
4318,Palmerston Community Daycare,Child Care Centre,Active,734,Palmerston Avenue,Toronto,ON,M6G 2R4,Province of Ontario
4319,Jubilee Day Care - (Pando Education Services Ltd.),Child Care Centre,Inactive,55,Emmett Avenue,Toronto,ON,M6M 2E4,Province of Ontario
4320,Pape Children's House,Child Care Centre,Active,404,Pape Avenue,Toronto,ON,M4K 3P5,Province of Ontario
4321,Child's Paradise Daycare Centre,Child Care Centre,Active,450,O'Brien Road,Renfrew,ON,K7V 3Z2,Province of Ontario
4322,Wee Watch - Milton,Home Child Care Agency,Active,1551,Doran Crescent,Milton,ON,L9E 1H6,Province of Ontario
4323,Paramount Family Centre,Child Care Centre,Active,1035,Paramount Drive,Stoney Creek,ON,L8J 2L6,Province of Ontario
