,name,source_facility_type,licence_status,street_number,street_name,city,province,postal_code,provider
4997,Stonemoor at McCaskill's Mills,Child Care Centre,Active,85,Albert Street,Cannington,ON,L0E 1E0,Province of Ontario
4998,Stonemoor at Scott Central,Child Care Centre,Active,421,Sandford Road,Sandford,ON,L0C 1E0,Province of Ontario
4999,Stoney Creek Child Care Centre,Child Care Centre,Active,,3 Lockport Way,Stoney Creek,ON,L6J 6P1,Province of Ontario
5000,Stoney Creek Co-operative Pre-School,Child Care Centre,Active,79,Collegiate Avenue,Stoney Creek,ON,L8G 3L5,Province of Ontario
5001,Stoney Creek Montessori,Child Care Centre,Active,178,Barton Street,Stoney Creek,ON,L8E 4W2,Province of Ontario
5002,Story Book Early Learning Centre,Child Care Centre,Inactive,26,Arthur Avenue,Essex,ON,N8M 2M8,Province of Ontario
5003,Story Book Early Learning Centre,Child Care Centre,Active,492,County Rd. 8,Essex,ON,N8M 2W2,Province of Ontario
5004,Story Book Early Learning Centre - Essex Public School Site,Child Care Centre,Active,72,Brien Avenue,Essex,ON,N8M 2N8,Province of Ontario
5005,SCHOOL AGE PROGRAM - ANNE HATHAWAY SITE,Child Care Centre,Inactive,77,Bruce Street,Stratford,ON,N5A 4A2,Province of Ontario
5006,SHAKESPEARE SCHOOL AGE PROGRAM,Child Care Centre,Active,35,Mowatt Street,Stratford,ON,N5A 2B8,Province of Ontario
5007,YMCA EARLY LEARNING & DEVELOPMENT CENTRE - SHAKESPEARE,Child Care Centre,Inactive,2213,William Shakespeare Street,Shakespeare,ON,N0B 2P0,Province of Ontario
5008,YMCA EARLY LEARNING & DEVELOPMENT CENTRE - SPRUCEDALE SCHOOL AGE PROGRAM,Child Care Centre,Active,2215,Fraser Street,Shakespeare,ON,N0B 2P0,Province of Ontario
5009,YMCA EARLY LEARNING AND DEVELOPMENT CENTRE,Child Care Centre,Active,220,Oakdale Avenue,Stratford,ON,N5A 7W2,Province of Ontario
5010,YMCA Early Learning and Development Centre- Downie Site,Child Care Centre,Active,204,Downie Street,Stratford,ON,N5A 1X4,Province of Ontario
5011,YMCA PA Day Program,Child Care Centre,Active,428,Forman Avenue,Stratford,ON,N5A 6R7,Province of Ontario
5012,YMCA SCHOOL AGE - AVON SITE,Child Care Centre,Active,31,Huntington Street,Stratford,ON,N5A 6N7,Province of Ontario
5013,YMCA SCHOOL AGE PROGRAM - HAMLET SITE,Child Care Centre,Active,315,West Gore Street,Stratford,ON,N5A 7N4,Province of Ontario
5014,YMCA SCHOOL AGE- BEDFORD SITE,Child Care Centre,Active,59,Bedford Street,Stratford,ON,N5A 5J1,Province of Ontario
5015,YMCA School Age Program Romeo,Child Care Centre,Active,49,Rebecca Street,Stratford,ON,N5A 3P2,Province of Ontario
5016,YMCA School Age Program- Jeanne Sauve,Child Care Centre,Active,8,Grange Street,Stratford,ON,N5A 3P6,Province of Ontario
5017,YMCA School Age Program-St.Aloysuis,Child Care Centre,Active,228,Avondale Avenue,Stratford,ON,N5A 6N4,Province of Ontario
5018,Strath MacLean Child Care Centre,Child Care Centre,Active,1175,Brealey Drive,Peterborough,ON,K9J 6X4,Province of Ontario
5019,Strath-MacLean Infant and Toddler Centre,Child Care Centre,Active,1885,Sherbrooke Street,Peterborough,ON,K9J 6X4,Province of Ontario
5020,Strath-MacLean Nursery School,Child Care Centre,Active,860,St. Mary Street,Peterborough,ON,K9J 4H6,Province of Ontario
5021,LITTLE LAMBS DAYCARE CENTRE,Child Care Centre,Active,421,Albert Street,Strathroy,ON,N7G 1W8,Province of Ontario
5022,Streetsville Children's Centre - Millcreek,Child Care Centre,Active,6535,Millcreek Drive,Mississauga,ON,L5N 2M2,Province of Ontario
5023,Blessed Mother Teresa House,Child Care Centre,Inactive,652,South Pelham Road,Welland,ON,L3C 3C7,Province of Ontario
5024,Greendale Before and After School Care,Child Care Centre,Active,5504,Montrose Road,Niagara Falls,ON,L2H 1K7,Province of Ontario
5025,Notre Dame Elementary Before and After School Program,Child Care Centre,Active,6559,Caswell Street,Niagara Falls,ON,L2J 1C2,Province of Ontario
5026,Pine Grove Child Care,Child Care Centre,Active,690,Lake Street,St. Catharines,ON,L2N 4J5,Province of Ontario
5027,Quaker Before and After School Care,Child Care Centre,Active,333,Quaker Road,Welland,ON,L3C 3G7,Province of Ontario
5028,Sven H. Dohnberg Centre,Child Care Centre,Active,535,Lake Street,St. Catharines,ON,L2N 4H7,Province of Ontario
5029,Welland Parent Child Care Centre,Child Care Centre,Active,285,East Main Street,Welland,ON,L3B 3X1,Province of Ontario
5030,Adolescent's Family Support Services of Niagara In-Home Program - PHDC,Home Child Care Agency,Inactive,285,East Main Street,Welland,ON,L3B 3X1,Province of Ontario
5031,"Studio 1, 2, 3 Early Learning Centre",Child Care Centre,Active,401,Richmond Street,Toronto,ON,M5V 3A8,Province of Ontario
5032,SonShine Kindergarten,Child Care Centre,Active,11,School Street,Emo,ON,P0W 1E0,Province of Ontario
5033,Better B Kids,Child Care Centre,Active,549,Frood Road,Sudbury,ON,P3C 5A2,Province of Ontario
5034,Kids Club,Child Care Centre,Active,32,Dell Street,Sudbury,ON,P3C 2X8,Province of Ontario
5035,Sudbury Christian Schools Inc. - SonRise Preschool,Child Care Centre,Active,1101,Regent Street,Sudbury,ON,P3E 5P8,Province of Ontario
5036,Sugar & S.P.I.C.E. Quality Childcare,Child Care Centre,Active,42,Sumac Street,Ottawa,ON,K1J 6P7,Province of Ontario
5037,Summerhill Day School,Child Care Centre,Active,2160,Headon Road,Burlington,ON,L7M 3W7,Province of Ontario
5038,SunRise & Shine Childcare Centre Inc.,Child Care Centre,Active,115,11 Street,Cornwall,ON,K6J 3B3,Province of Ontario
5039,Sunburst Children's Centre Inc.,Child Care Centre,Active,4905,Dufferin Street,Toronto,ON,M3H 5T4,Province of Ontario
5040,Sundowners Day Care & Resource Centre - Christ the King,Child Care Centre,Active,1200,Grand Marais Road,Windsor,ON,N9E 1C9,Province of Ontario
5041,Sundowners Day Care & Resource Centre - Dougall Avenue,Child Care Centre,Active,811,Dougall Avenue,Windsor,ON,N9A 4R2,Province of Ontario
5042,Sundowners Day Care & Resource Centre - Dr. David Suzuki School,Child Care Centre,Active,6320,Raymond Street,Windsor,ON,N9A 6P2,Province of Ontario
5043,Sundowners Day Care & Resource Centre - Forest Glade Primary Learning Centre,Child Care Centre,Active,9367,Esplanade Drive,Windsor,ON,N8R 1J3,Province of Ontario
5044,Sundowners Day Care & Resource Centre - General Brock,Child Care Centre,Active,3312,Sandwich Street,Windsor,ON,N9C 1B1,Province of Ontario
5045,Sundowners Day Care & Resource Centre - Glenwood School,Child Care Centre,Active,1601,Norfolk Street,Windsor,ON,N9E 1H6,Province of Ontario
5046,Sundowners Day Care & Resource Centre - Holy Cross School,Child Care Centre,Active,2555,Sandwich West Parkway,Lasalle,ON,N8H 2P7,Province of Ontario
5047,Sundowners Day Care & Resource Centre - Hugh Beaton School,Child Care Centre,Active,2229,Chilver Road,Windsor,ON,N8W 2V4,Province of Ontario
5048,Sundowners Day Care & Resource Centre - John Campbell Public School,Child Care Centre,Active,1255,Tecumseh Road,Windsor,ON,N8W 1B7,Province of Ontario
5049,Sundowners Day Care & Resource Centre - King Edward,Child Care Centre,Active,853,Chilver Road,Windsor,ON,N8Y 1B1,Province of Ontario
5050,Sundowners Day Care & Resource Centre - LaSalle Public School,Child Care Centre,Active,1600,Mayfair Avenue,Lasalle,ON,N9J 3K6,Province of Ontario
5051,Sundowners Day Care & Resource Centre - Our Lady of Perpetual Help School,Child Care Centre,Active,775,Capitol Street,Windsor,ON,N8X 5E3,Province of Ontario
5052,Sundowners Day Care & Resource Centre - Princess Elizabeth School,Child Care Centre,Active,5399,Raymond Street,Windsor,ON,N8S 1Z6,Province of Ontario
5053,Sundowners Day Care & Resource Centre - Roseland,Child Care Centre,Active,620,Cabana Road,Windsor,ON,N9G 1A4,Province of Ontario
5054,Sundowners Day Care & Resource Centre - St. John Vianney,Child Care Centre,Active,8405,Cedarview Street,Windsor,ON,N8S 1K9,Province of Ontario
5055,Sundowners Day Care & Resource Centre - Talbot Trail School,Child Care Centre,Active,4000,Ducharme Street,Windsor,ON,N9G 1A1,Province of Ontario
5056,Sundowners Day Care & Resource Centre - Tecumseh Vista Academy,Child Care Centre,Active,11665,Shields Street,Tecumseh,ON,N8W 1B7,Province of Ontario
5057,Sundowners Day Care and Resource Centre - Northwood School,Child Care Centre,Active,1100,Northwood Street,Windsor,ON,N9E 1A3,Province of Ontario
5058,Sunflower Co-operative Day Nursery,Child Care Centre,Inactive,700,Montreal Road,Ottawa,ON,K1A 0P7,Province of Ontario
5059,Sunflower Montessori Daycare Inc.,Child Care Centre,Active,582,Oakwood Avenue,Toronto,ON,M6E 2X5,Province of Ontario
5060,Sunny Days Nursery,Child Care Centre,Inactive,998,Upper Sherman Avenue,Hamilton,ON,L8V 4Y9,Province of Ontario
5061,Sunny Faces Day Care Centre - St. Benedict Site,Child Care Centre,Active,2202,kipling Avenue,Toronto,ON,M9W 4K9,Province of Ontario
5062,Sunny Faces Day Care Centre Inc.,Child Care Centre,Active,30,Harefield Drive,Toronto,ON,M9W 4C9,Province of Ontario
5063,Sunnybrook Creche,Child Care Centre,Active,2075,Bayview Avenue,Toronto,ON,M4N 3M5,Province of Ontario
5064,Sunnylea Child Care Centre,Child Care Centre,Active,35,Glenroy Avenue,Toronto,ON,M8Y 2M2,Province of Ontario
5065,Sunnylea Child Care Centre Before and After School Program,Child Care Centre,Inactive,851,Royal York Road,Toronto,ON,M8Y 2V3,Province of Ontario
5066,Sunnylea Cooperative Nursery School Inc.,Child Care Centre,Inactive,35,Glenroy Avenue,Toronto,ON,M8Y 2M2,Province of Ontario
5067,Sunnylea Cooperative Nursery School,Child Care Centre,Active,86,Montgomery Road,Etobicoke,ON,M9A 3N5,Province of Ontario
5068,Sunnyside - Keele,Child Care Centre,Active,236,Keele Street,Toronto,ON,M6P 2K3,Province of Ontario
5069,Sunnyside Day Care - Roncesvalles,Child Care Centre,Active,10,High Park Boulevard,Toronto,ON,M6R 1M4,Province of Ontario
5070,Sunnyside Garden Daycare Centre,Child Care Centre,Active,225,Garden Avenue,Toronto,ON,M6R 1H9,Province of Ontario
5071,Sunshine & Rainbows Christian Daycare Centre,Child Care Centre,Active,440,Highway #8,Stoney Creek,ON,L8G 1G3,Province of Ontario
5072,Sunshine Montessori School -Stratford,Child Care Centre,Inactive,426,Britannia Street,Stratford,ON,N5A 6A3,Province of Ontario
5073,Sunshine Montessori,Child Care Centre,Active,10,Boniface Avenue,Kitchener,ON,N2C 1L9,Province of Ontario
5074,Super Kids Day Care Centres Inc.,Child Care Centre,Active,1149,Weston Road,Toronto,ON,M6N 3S3,Province of Ontario
5075,Nursery Rhyme,Child Care Centre,Active,11,Elmsley Street,Smiths Falls,ON,K7A 2G4,Province of Ontario
5076,Wee Watch Private Home Day Care - Pickering,Home Child Care Agency,Active,445,Apple Creek Boulevard,Markham,ON,L3R 9X7,Province of Ontario
5077,Sunshine Nursery School,Child Care Centre,Active,65,Kings Crescent,Ajax,ON,L1S 2M4,Province of Ontario
5078,Winona Children's Centre,Child Care Centre,Active,1296,Barton Street,Winona,ON,L8E 5L4,Province of Ontario
5079,The Candy Factory of Swallows Day Care Inc. (op: Swallows Day Care Inc.),Child Care Centre,Active,1411,Bloor Street,Toronto,ON,M6P 3L4,Province of Ontario
5080,Bloorcourt Village Early Learning Centre,Child Care Centre,Active,823,Dovercourt Road,Toronto,ON,M6H 2X4,Province of Ontario
5081,Swansea Kids' Place,Child Care Centre,Active,207,Windermere Avenue,Toronto,ON,M6S 3J9,Province of Ontario
5082,Swansea Nursery School - 95 Lavina Avenue,Child Care Centre,Inactive,95,Lavinia Avenue,Toronto,ON,M6S 3H9,Province of Ontario
5083,Swirling Leaves Day Care Services Inc. (Wee Watch Franchise PHDC),Home Child Care Agency,Active,5186A,Dundas Street,Toronto,ON,M9A 1C4,Province of Ontario
5084,Ganon Preschool,Child Care Centre,Active,21,Nadolny Sachs Private,Ottawa,ON,K2A 1R9,Province of Ontario
5085,Talent Montessori&Day Nursery,Child Care Centre,Active,69,McLeod Drive,Aurora,ON,L4G 5C1,Province of Ontario
5086,TayCare - Stewart Before and After School Program,Child Care Centre,Active,7,Sunset Boulevard,Perth,ON,K7H 2N6,Province of Ontario
5087,TayCare Children's Centre - Junior,Child Care Centre,Active,2066,Scotch Line Road,Perth,ON,K7H 3C5,Province of Ontario
5088,TayCare Children's Centre - St. John's,Child Care Centre,Active,34,Wilson Street,Perth,ON,K7H 1L6,Province of Ontario
5089,TayCare Queen E Before and After Program,Child Care Centre,Active,80,Wilson Street,Perth,ON,K7H 1M4,Province of Ontario
5090,TayCare-Wilson Children's Centre,Child Care Centre,Active,100,Wilson Street,Perth,ON,K7H 1M4,Province of Ontario
5091,TERRY FOX MONTESSORI INC.,Child Care Centre,Active,1051,Eglington Avenue,Mississauga,ON,L5V 2W3,Province of Ontario
5092,LoveView Early Learning Centre,Child Care Centre,Active,10856,Bayview Avenue,Richmond Hill,ON,L4S 1M1,Province of Ontario
5093,THE BUTTERFLY LEARNING CENTRE,Child Care Centre,Active,30,Bathurst Drive,Waterloo,ON,N2V 1V6,Province of Ontario
5094,Oak Tree Childcare Centre,Child Care Centre,Active,163,King Road,Richmond Hill,ON,L4E 2E1,Province of Ontario
5095,The Learning Centre - Bridgewood,Child Care Centre,Active,850,Nick Kaneb Drive,Cornwall,ON,K6H 2B1,Province of Ontario
5096,The Learning Centre - Laggan Site,Child Care Centre,Active,20345,Gleneig Road,Dalkeith,ON,K0B 1E0,Province of Ontario
5097,The Learning Centre - Rothwell - Osnabruck Site,Child Care Centre,Active,1,College Street,Ingleside,ON,K0C 1M0,Province of Ontario
5098,The Learning Centre - Winchester Site,Child Care Centre,Active,547,Louise Street,Winchester,ON,K0C 2K0,Province of Ontario
5099,The Learning Centre East Front,Child Care Centre,Inactive,1810,Montreal Road,Cornwall,ON,K6H 1G2,Province of Ontario
5100,The Learning Centre-Iroquois,Child Care Centre,Active,66,Lakeview Drive,Iroquois,ON,K0E 1K0,Province of Ontario
5101,The Learning Centre-Longue Sault,Child Care Centre,Active,13,Bethune Street,Long Sault,ON,K0C 1P0,Province of Ontario
5102,The Kangaroo's Pouch Daycare,Child Care Centre,Active,1410,Kilally Road,London,ON,N5V 5A3,Province of Ontario
5103,Rumball Early Education Centre,Child Care Centre,Inactive,2395,Bayview Avenue,Toronto,ON,M2L 1A2,Province of Ontario
5104,The Playspace at Hazeldean Village,Child Care Centre,Active,474,Hazeldean Road,Kanata,ON,K2L 4E5,Province of Ontario
5105,Little Angels Development,Child Care Centre,Active,10,Sideroad 18,Fergus,ON,N1M 2W3,Province of Ontario
5106,Tiny-Shiny Childcare,Child Care Centre,Active,209,NORTH Street,STAYNER,ON,L0M 1S0,Province of Ontario
5107,Tiny Bees Childcare,Child Care Centre,Active,99,Queen Street,Tottenham,ON,L0J 1W0,Province of Ontario
5108,TREASURE GARDEN CHILD CARE CENTER,Child Care Centre,Active,7251,Yonge Street,Innisfil,ON,L9S 0J3,Province of Ontario
5109,MFRC-Batawa Location,Child Care Centre,Active,58,Plant Street,Batawa,ON,K0K 1E0,Province of Ontario
5110,Military Family Resource Centre-Belleville,Child Care Centre,Active,610,"Dundas Street, East",Belleville,ON,K8N 1G7,Province of Ontario
5111,Military Family Resource Centre-Frankford Location,Child Care Centre,Active,36,Adelaide St.,Frankford,ON,K0K 2C0,Province of Ontario
5112,Trenton MFRC Daycare Best Start Program (St. Mary School),Child Care Centre,Active,85,Campbell Street,Trenton,ON,K8V 3A2,Province of Ontario
5113,Trenton Military Family Resource Centre Day Care - Site #1,Child Care Centre,Active,50,Rivers Drive,Astra,ON,K0K 3W0,Province of Ontario
5114,Trenton Military Family Resource Centre Daycare - Site #2,Child Care Centre,Active,50A,Rivers Drive,Trenton,ON,K8V 1B8,Province of Ontario
5115,Trenton Military Family Resource Centre,Home Child Care Agency,Active,50,Rivers Drive,Trenton,ON,K8V 2B9,Province of Ontario
5116,Children of Tomorrow,Child Care Centre,Active,425,McCowan Road,Scarborough,ON,M1J 1J1,Province of Ontario
5117,Children of Tomorrow Childcare,Child Care Centre,Active,431,McCowan Road,Toronto,ON,M1J 1J1,Province of Ontario
5118,Children of Tomorrow Day Care Centre (Tropicana Community Services Organization),Child Care Centre,Inactive,1325,Danforth Road,Toronto,ON,M1J 1G5,Province of Ontario
5119,Tropicana Community Services/Children of Tomorrow Day Care Centre (400 McCowan),Child Care Centre,Inactive,400,McCowan Road,Toronto,ON,M1J 1J4,Province of Ontario
5120,Tall Pines School,Child Care Centre,Active,8525,Torbram Road,Brampton,ON,L6T 5K4,Province of Ontario
5121,Little Buddies Preschool Centre,Child Care Centre,Active,193,Simcoe Street,Amherstburg,ON,N9V 1M3,Province of Ontario
5122,Little Buddies Preschool Centre ( School Age Site),Child Care Centre,Inactive,247,Brock Street,Amherstburg,ON,N9V 1M3,Province of Ontario
5123,Little Buddies Preschool Centre (School age site),Child Care Centre,Inactive,287,Dalhousie Street,amherstburg,ON,N9V 1X1,Province of Ontario
5124,Early Scholars,Child Care Centre,Inactive,689,West 5th Street,Hamilton,ON,L9C 3R3,Province of Ontario
5125,Tanie's Tots Before/after school program,Child Care Centre,Inactive,900,Centennial Street,Iroquois Falls,ON,P0K 1G0,Province of Ontario
5126,Tanie's Tots Daycare Centre,Child Care Centre,Active,59,Main Street,Iroquois Falls,ON,P0K 1G0,Province of Ontario
5127,Stanley Avenue Children's Centre,Child Care Centre,Inactive,20,Stanley Avenue,Hamilton,ON,L8P 2L1,Province of Ontario
5128,Tapawingo Day Care,Child Care Centre,Active,9,Clarendon Avenue,Hamilton,ON,L9A 2Z9,Province of Ontario
5129,Wee Watch Enriched Home Child Care - Brantford,Home Child Care Agency,Active,42,Avondale Crescent,Brantford,ON,N3S 7V1,Province of Ontario
5130,Teach Me To Fly Preschool Inc. (Op: Carole Adriaans),Child Care Centre,Active,2560,Gerrard Street,Toronto,ON,M1N 1N8,Province of Ontario
5131,Teddy Bear Academy (op: MVG Ventures Ltd.),Child Care Centre,Active,167,High Park Avenue,Toronto,ON,M6P 2S3,Province of Ontario
5132,Teddy Bears Picnic Child Care - Full Day,Child Care Centre,Inactive,221,Main Street,Newmarket,ON,L3Y 3Y9,Province of Ontario
5133,Tillie Missabie Family Centre,Child Care Centre,Active,Bear Islan,Doreen Potts Health Centre,Lake Temagami,ON,P0H 1C0,Province of Ontario
5134,Keepers of the Circle Aboriginal Family Learning Centre - Kirkland Lake,Child Care Centre,Active,109,Burnside Drive,Kirkland Lake,ON,P2N 2V5,Province of Ontario
5135,Keepers of the Circle Aboriginal Family Learning Centre - New Liskeard,Child Care Centre,Active,121,Scott Street,New Liskeard,ON,P0J 1P0,Province of Ontario
5136,Temiskaming Wee Care Day Care,Child Care Centre,Inactive,80,4th Street,Englehart,ON,P0J 1H0,Province of Ontario
5137,Temple Sinai Nursery School,Child Care Centre,Active,210,Wilson Avenue,Toronto,ON,M5M 3B1,Province of Ontario
5138,Tender Treasures Montessori School,Child Care Centre,Inactive,110,Little Avenue,Barrie,ON,L4N 4K8,Province of Ontario
5139,Tender Treasures Montessori School of Woodbridge Inc.,Child Care Centre,Active,171,Marycroft Avenue,Woodbridge,ON,L4L 5Y3,Province of Ontario
5140,Tender Years Child Care 2,Child Care Centre,Active,338,Rossland Road,Ajax,ON,L1Z 1S4,Province of Ontario
5141,Tender Years Child Care Inc.,Child Care Centre,Inactive,100,Westney Road,Ajax,ON,L1S 7H3,Province of Ontario
5142,Tender Years Co-operative School,Child Care Centre,Inactive,3120,Glen Erin Drive,Mississauga,ON,L5L 1R6,Province of Ontario
5143,Tender Years Co-operative School Inc.,Child Care Centre,Active,1444,Dundas Crescent,Mississauga,ON,L5C 1E9,Province of Ontario
5144,Tender Years day Care Inc.,Child Care Centre,Active,145,Marlee Avenue,Toronto,ON,M6B 3H3,Province of Ontario
5145,Bhakta Prahlad Montessori,Child Care Centre,Active,1122,concession Street,Russell,ON,K4R 1C9,Province of Ontario
5146,Mountain Nursery School,Child Care Centre,Active,1279,Upper Gage Avenue,Hamilton,ON,L8W 1E5,Province of Ontario
5147,Terrace Woods Day Care Services Inc. - PHDC,Home Child Care Agency,Active,8611,Weston Road,Vaughan,ON,L4L 9P1,Province of Ontario
5148,Terry Tan Child Care (Rossburn) Facility #4450,Child Care Centre,Active,15,Rossburn Drive,Toronto,ON,M9C 2P7,Province of Ontario
5149,Terry Tan Child Centre (Bloordale),Child Care Centre,Active,4258,Bloor Street,Toronto,ON,M9C 1Z7,Province of Ontario
5150,Thamesville And Area Early Learning Centre,Child Care Centre,Active,90,Graham Street,Thamesville,ON,N0P 2K0,Province of Ontario
5151,Thamesville And Area Early Learning Centre - Good Shephard,Child Care Centre,Inactive,4,Edith Street,Thamesville,ON,N0P 2P0,Province of Ontario
5152,Thamesville and Area Early Learning Centre - Thamesville Area Public School,Child Care Centre,Active,30,Mary Street,Thamesville,ON,N0P 2K0,Province of Ontario
5153,Thamesville and Area Early Learning Centre Good Shepherd Site,Child Care Centre,Active,4,Edith Street,Chatham-Kent,ON,N0P 2K0,Province of Ontario
5154,Thamesville and Area Early Learning Centre- Zone Township Central School Site,Child Care Centre,Active,730,Main Street,Bothwell,ON,N0P 1C0,Province of Ontario
5155,The Alderbuds Child Care Centre of Etobicoke 2,Child Care Centre,Inactive,399,The West Mall,Etobicoke,ON,M9C 2Y2,Province of Ontario
5156,The Alderbuds Child Care Centre of Etobicoke,Child Care Centre,Active,399,The West Mall,Toronto,ON,M9C 2Y2,Province of Ontario
5157,The Apple Tree Preschool & Learning Centre,Child Care Centre,Active,900,Bonacord Avenue,Whitby,ON,L1P 1H8,Province of Ontario
5158,The Apple Tree Preschool & Learning Centre - Ajax,Child Care Centre,Active,365,Kingston Road,Ajax,ON,L1Z 1W3,Province of Ontario
5159,Beacon Christian School,Child Care Centre,Active,300,Scott Street,St. Catharines,ON,L2N 1J3,Province of Ontario
5160,Beehive Day Care Centre,Child Care Centre,Active,35,Centre Street,Campbellford,ON,K0L 1L0,Province of Ontario
5161,Beehive Daycare - Hillcrest Site,Child Care Centre,Active,55,Elmore Street,Campbellford,ON,K0L 1L0,Province of Ontario
5162,The Beez Kneez Millwood,Child Care Centre,Active,423,Millwood Road,Toronto,ON,M4S 1K3,Province of Ontario
5163,The Beez Kneez Nursery School,Child Care Centre,Inactive,7,Roslin Avenue,Toronto,ON,M4N 1Y8,Province of Ontario
5164,The Beez Kneez Lytton Park,Child Care Centre,Active,1252,Avenue Road,Toronto,ON,M5N 2G7,Province of Ontario
5165,The Beez Kneez Forest Hill,Child Care Centre,Active,212,St.Clair Avenue,Toronto,ON,M4V 1R2,Province of Ontario
5166,Torah Tots South,Child Care Centre,Active,44,Edinburgh Drive,North York,ON,M3H 1B4,Province of Ontario
5167,Bettye Hyde Co-operative Nursery School,Child Care Centre,Inactive,317,Chapel Street,Ottawa,ON,K1N 7Z2,Province of Ontario
5168,Bettye Hyde Cooperative Early Learning Centre,Child Care Centre,Active,43,Blackburn Avenue,Ottawa,ON,K1N 8A4,Province of Ontario
5169,TANGLEWOOD SCHOOL,Child Care Centre,Active,1072,Tanglewood Court,Oakville,ON,L6L 5H7,Province of Ontario
5170,The Chartwell House Early Learning Centre,Child Care Centre,Active,467,Chartwell Road,Oakville,ON,L6J 4A6,Province of Ontario
5171,The Chestnut Tree Pre-School - Stoney Creek,Child Care Centre,Inactive,288,Barton Street,Stoney Creek,ON,L8E 2K6,Province of Ontario
5172,The Chestnut Tree Pre-School - Grimsby,Child Care Centre,Inactive,63,Casablanca Boulevard,Grimsby,ON,L3M 4G5,Province of Ontario
5173,The Chestnut Tree Preschool - Beamsville,Child Care Centre,Active,5407,King Street,Beamsville,ON,L0R 1B3,Province of Ontario
5174,The Chestnut Tree Preschool - Grimsby,Child Care Centre,Active,14,Ontario Street,Grimsby,ON,L3M 3H2,Province of Ontario
5175,The Chestnut Tree Preschool - Lincoln,Child Care Centre,Active,4329,Ontario Street,Lincoln,ON,L0R 1B0,Province of Ontario
5176,The Children's Montessori & Preparatory School Inc.,Child Care Centre,Inactive,220,Murray Street,Peterborough,ON,K9H 2S8,Province of Ontario
5177,The Children's Montessori School,Child Care Centre,Active,186,Romaine Street,Peterborough,ON,K9J 2C4,Province of Ontario
5178,The Children's Path,Child Care Centre,Active,8045,Islington Avenue,Woodbridge,ON,L4L 1W4,Province of Ontario
5179,Sunshine Children`s Centre,Child Care Centre,Active,3657,Ponytrail Drive,Mississauga,ON,L4X 1W5,Province of Ontario
5180,The Learning Circle Child Development Centre,Child Care Centre,Active,681,Monaghan Road,Peterborough,ON,K9J 5J5,Province of Ontario
5181,Sister Carmelina's Preschool Academy,Child Care Centre,Active,1431,Clarence Street,Woodbridge,ON,L4H 3C4,Province of Ontario
5182,Infant Jesus Day Care (Waterdown),Child Care Centre,Active,717,Centre Road,Waterdown,ON,L0R 2H0,Province of Ontario
5183,Infant Jesus Kindergarten & Nursery,Child Care Centre,Active,329,Mohawk Road,Hamilton,ON,L9C 1W4,Province of Ontario
5184,Dryden Child Care Program,Child Care Centre,Inactive,113,Albert Street,Dryden,ON,P8N 1J1,Province of Ontario
5185,K.P. Best Start,Child Care Centre,Inactive,289,Wice Road,Dryden,ON,P8N 3E2,Province of Ontario
5186,Open Roads Best Start Child Care Centre,Child Care Centre,Inactive,20,Davis Street,Dryden,ON,P8N 1R4,Province of Ontario
5187,St. Joseph's Best Start,Child Care Centre,Inactive,185,Parkdale Road,Dryden,ON,P8N 1S5,Province of Ontario
5188,Mount Forest Child Care and Learning Centre,Child Care Centre,Active,311,Foster Street,Mount Forest,ON,N0G 2L1,Province of Ontario
5189,Palmerston Child Care and Learning Centre,Child Care Centre,Inactive,215,William Street,Palmerston,ON,N0G 2P0,Province of Ontario
5190,Palmerston Child Care and Learning Centre,Child Care Centre,Active,540,Prospect Street,Palmerston,ON,N0G 2P0,Province of Ontario
5191,Wellington Place Child Care and Learning Centre,Child Care Centre,Active,477,Charles Allan Way,Fergus,ON,N1M 2W3,Province of Ontario
5192,Willowdale Child Care and Learning Centre,Child Care Centre,Active,95,Willow Road,Guelph,ON,N1H 1W4,Province of Ontario
5193,The Corporation of the County of Wellington - Wellington Home Child Care,Home Child Care Agency,Active,552,Wellington Road,Fergus,ON,N1M 2W3,Province of Ontario
5194,Balmertown Early Learning Centre,Child Care Centre,Active,16,Eric Radford Way,Balmertown,ON,P0V 1C0,Province of Ontario
5195,Red Lake Early Learning Centre,Child Care Centre,Active,201,Howey Street,Red Lake,ON,P0V 2M0,Province of Ontario
5196,St. John's Early Learning Centre,Child Care Centre,Active,54,Discovery Road,Red Lake,ON,P0V 2M0,Province of Ontario
5197,Biidaaban Children's Centre,Child Care Centre,Active,41,Eighth Avenue,Sioux Lookout,ON,P8T 1A8,Province of Ontario
5198,Norah Love Children's Centre,Child Care Centre,Inactive,54,Princess Street,Sioux Lookout,ON,P8T 1H4,Province of Ontario
5199,Sioux Mountain Children's Centre,Child Care Centre,Active,89,First Avenue,Sioux Lookout,ON,P8T 1A1,Province of Ontario
5200,Fort Frances Children's Complex - J.W Walker,Child Care Centre,Active,475,Keating Avenue,Fort Frances,ON,P9A 1N4,Province of Ontario
5201,Fort Frances Children's Complex - Robert Moore School,Child Care Centre,Active,528,Second Street,Fort Frances,ON,P9A 1N4,Province of Ontario
5202,Fort Frances Children's Complex - St. Michael's School,Child Care Centre,Active,820,Fifth Street,Fort Frances,ON,P9A 1V4,Province of Ontario
5203,Fort Frances Day Care Centre,Child Care Centre,Active,1150,Portage Avenue,Fort Frances,ON,P9A 2B1,Province of Ontario
