,name,source_facility_type,capacity,infant,toddler,facility_type,city,full_address,postal_code,provider
1783,LA GARDERIE ÉDUCATIVE DES PETITS AMIS,GARD,80.0,Y,Y,Day Care,Sainte-Geneviève,"15728, rue de la Caserne",H9H 1G4,Province of Quèbec
1784,CENTRE DE LA PETITE ENFANCE COMMUNAUTAIRE LES TROTTINETTES,CPE,72.0,Y,Y,Day Care,Verdun,"4400, boulevard Lasalle",H4G 2A8,Province of Quèbec
1785,CENTRE DE LA PETITE ENFANCE COMMUNAUTAIRE LES TROTTINETTES,CPE,40.0,Y,Y,Day Care,Verdun,"202, rue Galt",H4G 2P2,Province of Quèbec
1786,CENTRE DE LA PETITE ENFANCE COMMUNAUTAIRE LES TROTTINETTES,CPE,26.0,Y,Y,Day Care,Verdun,"1261, rue Argyle",H4H 1V4,Province of Quèbec
1787,CENTRE DE LA PETITE ENFANCE COMMUNAUTAIRE LES TROTTINETTES,CPE,41.0,Y,Y,Day Care,Verdun,"4501, rue Bannantyne, rez-de-chaussée",H4G 1E3,Province of Quèbec
1788,CENTRE DE LA PETITE ENFANCE COMMUNAUTAIRE LES TROTTINETTES,CPE,20.0,Y,Y,Day Care,Verdun,"4501, rue Bannantyne, 2e étage",H4G 1E3,Province of Quèbec
1789,CENTRE DE LA PETITE ENFANCE DE L'ÎLE DES SOEURS,CPE,60.0,Y,Y,Day Care,Verdun,"532, rue de Gaspé",H3E 1E7,Province of Quèbec
1790,CENTRE DE LA PETITE ENFANCE DE L'ÎLE DES SOEURS,CPE,36.0,Y,Y,Day Care,Verdun,"550, chemin du Golf, bureau 201, 1-DS",H3E 1A8,Province of Quèbec
1791,CENTRE DE LA PETITE ENFANCE FUNVILLE,CPE,78.0,Y,Y,Day Care,Verdun,"7000, boulevard Champlain",H4H 1A8,Province of Quèbec
1792,CENTRE DE LA PETITE ENFANCE LES PETITS LAPINS,CPE,80.0,Y,Y,Day Care,Verdun,"1355, rue Clémenceau",H4H 2R2,Province of Quèbec
1793,CENTRE DE LA PETITE ENFANCE RIVERVIEW,CPE,36.0,Y,Y,Day Care,Verdun,"1040, rue Godin",H4H 2B7,Province of Quèbec
1794,CENTRE DE LA PETITE ENFANCE SOLEIL LE VENT/RISING SUN CHILDCARE CENTRE,CPE,80.0,Y,Y,Day Care,Verdun,"600, avenue Desmarchais",H4H 1S6,Province of Quèbec
1795,CENTRE PAUSE PARENTS-ENFANTS,CPE,44.0,Y,Y,Day Care,Verdun,"4901, rue Wellington",H4G 1X8,Province of Quèbec
1796,CENTRE PAUSE PARENTS-ENFANTS,CPE,56.0,Y,Y,Day Care,Verdun,"3550, rue Wellington",H4G 1T3,Province of Quèbec
1797,CENTRE ÉDUCATIF LES PETITS PANDAS INC.,GARD,36.0,,,Day Care,Verdun,"6201, avenue Bannantyne",H4H 1J4,Province of Quèbec
1798,CPE CHEZ PICOTINE - INSTALLATION FANTOCHE,CPE,52.0,Y,Y,Day Care,Verdun,"722, rue de l'Église",H4G 2M8,Province of Quèbec
1799,CPE CHEZ PICOTINE - INSTALLATION POILDEPLUCH,CPE,39.0,Y,Y,Day Care,Verdun,"720, rue de L'Église",H4G 2M8,Province of Quèbec
1800,GARDERIE A B C (VERDUN) INC.,GARD,80.0,Y,Y,Day Care,Verdun,"5639, rue de Verdun",H4H 1L3,Province of Quèbec
1801,GARDERIE CHOUCHOU,GARD,45.0,,,Day Care,Verdun,"3692, rue Wellington",H4G 1V2,Province of Quèbec
1802,GARDERIE DA-DO INC.,GARD,60.0,,,Day Care,Verdun,"2, Place des Jardins- des- Vosges, bureau 101",H3E 2B2,Province of Quèbec
1803,GARDERIE ET JARDIN D'ENFANTS MONTESSORI INC. / MONTESSORI NURSERY AND DAY CARE CENTER INC.,GARD,75.0,Y,Y,Day Care,Verdun,"1, place du Commerce, bureau 150",H3E 1A2,Province of Quèbec
1804,GARDERIE K.I.D.S. ÎLE DES SOEURS,GARD,80.0,Y,Y,Day Care,Verdun,"1, Carrefour Alexander-Graham-Bell, AG-10",H3E 3B3,Province of Quèbec
1805,GARDERIE LE LAC DES CYGNES INC.,GARD,20.0,,,Day Care,Verdun,"545, rue de l'Église",H4G 2M7,Province of Quèbec
1806,GARDERIE LES MINOIS FRIPONS INC.,GARD,100.0,Y,Y,Day Care,Verdun,"640, rue Woodland",H4H 1V8,Province of Quèbec
1807,GARDERIE LES PETITS ATHLÈTES VERDUN,GARD,48.0,,,Day Care,Verdun,"3501, rue de Verdun",H4G 1K5,Province of Quèbec
1808,GARDERIE LES PETITS HARVARD INC.,GARD,74.0,,,Day Care,Verdun,"5040, rue Wellington",H4G 1X9,Province of Quèbec
1809,GARDERIE LES PETITS OISEAUX INC.,GARD,20.0,Y,Y,Day Care,Verdun,"254, rue Woodland",H4H 1V6,Province of Quèbec
